3.0,3576.65,3530.93,3521.41,3515.95
3.5,2423.05,2390.32,2385.13,2382.19
4.0,1813.88,1791.27,1787.33,1785.09
5.0,927.626,917.1,914.116,912.389
6.0,393.027,386.687,384.699,383.546
7.0,143.505,139.981,138.588,137.776
8.0,45.4608,43.6096,42.8019,42.3305
9.0,11.6136,10.6269,10.2007,9.952069
10.0,1.36949,0.872811,0.634163,0.494666
10.5,-0.36218,-0.701191,-0.881184,-0.986539
11.0,-1.115934,-1.342014,-1.475021,-1.552971
11.5,-1.356918,-1.505578,-1.601378,-1.657581
12.0,-1.3447,-1.442236,-1.509158,-1.548444
12.5,-1.219903,-1.284685,-1.331307,-1.358688
13.0,-1.057361,-1.101349,-1.132562,-1.150891
13.5,-0.893477,-0.923978,-0.94484,-0.957087
14.0,-0.744006,-0.765941,-0.779854,-0.788014
14.5,-0.615025,-0.631148,-0.640523,-0.646016
15.0,-0.506991,-0.518992,-0.525419,-0.529182
16.0,-0.34569,-0.352037,-0.355191,-0.357036
17.0,-0.238559,-0.241875,-0.243513,-0.244471
18.0,-0.167477,-0.169103,-0.170051,-0.170607
19.0,-0.119673,-0.120402,-0.120922,-0.121227
